City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
359,kattivakkam,40,IN,1566491015,74,13.22,80.32,86.0,9.17
360,boende,47,CD,1566490885,53,-0.28,20.88,86.01,1.86
361,hamilton,75,CA,1566491005,56,43.26,-79.87,73.99,12.75
362,carballo,0,ES,1566491016,51,43.21,-8.69,91.99,5.82
363,dudinka,0,RU,1566491016,82,69.41,86.18,59.0,2.24
364,isangel,0,VU,1566491016,72,-19.55,169.27,70.17,5.1
365,talnakh,0,RU,1566491016,82,69.49,88.39,59.0,2.24
366,riberalta,0,BO,1566491016,51,-11.0,-66.08,84.2,4.7
367,zhigansk,100,RU,1566490824,68,66.77,123.37,58.11,8.43
368,callaguip,90,PH,1566491017,100,18.07,120.49,77.0,3.36
369,kununurra,57,AU,1566491017,67,-15.77,128.74,59.0,6.26
370,santiago del estero,0,AR,1566491017,44,-27.8,-64.26,65.31,6.26
371,juegang,0,CN,1566491018,83,32.31,121.18,82.0,5.53
372,ancud,90,CL,1566491018,100,-41.87,-73.83,48.2,1.12
373,grindavik,40,IS,1566491018,71,63.84,-22.43,57.2,6.93
374,mosquera,40,CO,1566491018,52,4.71,-74.23,64.4,14.99
375,yar-sale,26,RU,1566491018,66,66.83,70.83,61.71,6.76
376,kangaatsiaq,98,GL,1566491018,89,68.31,-53.46,44.79,6.35
377,sisimiut,97,GL,1566491019,94,66.94,-53.67,41.37,8.03
378,tilichiki,0,RU,1566491019,88,60.47,166.1,50.55,2.84
379,dalbandin,0,PK,1566491019,10,28.9,64.41,87.81,14.38
380,slave lake,1,CA,1566491019,58,55.28,-114.77,57.2,19.46
381,kishi,100,NG,1566491020,87,9.08,3.85,77.55,8.79
382,bronnoysund,0,NO,1566491020,59,65.46,12.2,62.6,10.29
